Squad,Week,Home,Away,Player,Time
Brighton,34,Brighton,Liverpool,Leandro Trossard,45
Liverpool,34,Brighton,Liverpool,Mohamed Salah,6
Liverpool,34,Brighton,Liverpool,Jordan Henderson,8
Liverpool,34,Brighton,Liverpool,Mohamed Salah,76
Crystal Palace,34,Crystal Palace,Chelsea,Wilfried Zaha,34
Crystal Palace,34,Crystal Palace,Chelsea,Christian Benteke,72
Chelsea,34,Crystal Palace,Chelsea,Olivier Giroud,6
Chelsea,34,Crystal Palace,Chelsea,Christian Pulisic,27
Chelsea,34,Crystal Palace,Chelsea,Tammy Abraham,71
Everton,34,Everton,Southampton,Richarlison,43
Southampton,34,Everton,Southampton,Danny Ings,31
Manchester City,34,Manchester City,Newcastle Utd,Gabriel Jesus,10
Manchester City,34,Manchester City,Newcastle Utd,Riyad Mahrez,21
Manchester City,34,Manchester City,Newcastle Utd,Federico Fernández (OG),58
Manchester City,34,Manchester City,Newcastle Utd,David Silva,65
Manchester City,34,Manchester City,Newcastle Utd,Raheem Sterling,90+1
Sheffield Utd,34,Sheffield Utd,Wolves,John Egan,90+3
Watford,34,Watford,Norwich City,Craig Dawson,10
Watford,34,Watford,Norwich City,Danny Welbeck,55
Norwich City,34,Watford,Norwich City,Emi Buendía,4
Burnley,34,West Ham,Burnley,Jay Rodriguez,38
Aston Villa,35,Aston Villa,Crystal Palace,Trézéguet,45+4
Aston Villa,35,Aston Villa,Crystal Palace,Trézéguet,59
Bournemouth,35,Bournemouth,Leicester City,Junior Stanislas (P),66
Bournemouth,35,Bournemouth,Leicester City,Dominic Solanke,67
Bournemouth,35,Bournemouth,Leicester City,Jonny Evans (OG),83
Bournemouth,35,Bournemouth,Leicester City,Dominic Solanke,87
Leicester City,35,Bournemouth,Leicester City,Jamie Vardy,23
Manchester City,35,Brighton,Manchester City,Raheem Sterling,21
Manchester City,35,Brighton,Manchester City,Gabriel Jesus,44
Manchester City,35,Brighton,Manchester City,Raheem Sterling,53
Manchester City,35,Brighton,Manchester City,Bernardo Silva,56
Manchester City,35,Brighton,Manchester City,Raheem Sterling,81
Liverpool,35,Liverpool,Burnley,Andrew Robertson,34
Burnley,35,Liverpool,Burnley,Jay Rodriguez,69
Manchester Utd,35,Manchester Utd,Southampton,Marcus Rashford,20
Manchester Utd,35,Manchester Utd,Southampton,Anthony Martial,23
Southampton,35,Manchester Utd,Southampton,Stuart Armstrong,12
Southampton,35,Manchester Utd,Southampton,Michael Obafemi,90+6
West Ham,35,Norwich City,West Ham,Michail Antonio,11
West Ham,35,Norwich City,West Ham,Michail Antonio,45+1
West Ham,35,Norwich City,West Ham,Michail Antonio,54
West Ham,35,Norwich City,West Ham,Michail Antonio,74
Sheffield Utd,35,Sheffield Utd,Chelsea,David McGoldrick,18
Sheffield Utd,35,Sheffield Utd,Chelsea,Oliver McBurnie,33
Sheffield Utd,35,Sheffield Utd,Chelsea,David McGoldrick,77
Tottenham,35,Tottenham,Arsenal,Son Heung-min,19
Tottenham,35,Tottenham,Arsenal,Toby Alderweireld,81
Arsenal,35,Tottenham,Arsenal,Alexandre Lacazette,16
Watford,35,Watford,Newcastle Utd,Troy Deeney (P),52
Watford,35,Watford,Newcastle Utd,Troy Deeney (P),82
Newcastle Utd,35,Watford,Newcastle Utd,Dwight Gayle,23
Wolves,35,Wolves,Everton,Raúl Jiménez (P),45+2
Wolves,35,Wolves,Everton,Leander Dendoncker,46
Wolves,35,Wolves,Everton,Diogo Jota,74
Arsenal,36,Arsenal,Liverpool,Alexandre Lacazette,32
Arsenal,36,Arsenal,Liverpool,Reiss Nelson,44
Liverpool,36,Arsenal,Liverpool,Sadio Mané,20
Burnley,36,Burnley,Wolves,Chris Wood (P),90+6
Wolves,36,Burnley,Wolves,Raúl Jiménez,76
Chelsea,36,Chelsea,Norwich City,Olivier Giroud,45+3
Manchester Utd,36,Crystal Palace,Manchester Utd,Marcus Rashford,45+1
Manchester Utd,36,Crystal Palace,Manchester Utd,Anthony Martial,78
Everton,36,Everton,Aston Villa,Theo Walcott,87
Aston Villa,36,Everton,Aston Villa,Ezri Konsa,72
Leicester City,36,Leicester City,Sheffield Utd,Ayoze Pérez,29
Leicester City,36,Leicester City,Sheffield Utd,Demarai Gray,79
Manchester City,36,Manchester City,Bournemouth,David Silva,6
Manchester City,36,Manchester City,Bournemouth,Gabriel Jesus,39
Bournemouth,36,Manchester City,Bournemouth,David Brooks,88
Newcastle Utd,36,Newcastle Utd,Tottenham,Matt Ritchie,56
Tottenham,36,Newcastle Utd,Tottenham,Son Heung-min,27
Tottenham,36,Newcastle Utd,Tottenham,Harry Kane,60
Tottenham,36,Newcastle Utd,Tottenham,Harry Kane,90
Southampton,36,Southampton,Brighton,Danny Ings,66
Brighton,36,Southampton,Brighton,Neal Maupay,17
West Ham,36,West Ham,Watford,Michail Antonio,6
West Ham,36,West Ham,Watford,Tomáš Souček,10
West Ham,36,West Ham,Watford,Declan Rice,36
Watford,36,West Ham,Watford,Troy Deeney,49
Aston Villa,37,Aston Villa,Arsenal,Trézéguet,27
Southampton,37,Bournemouth,Southampton,Danny Ings,41
Southampton,37,Bournemouth,Southampton,Che Adams,90+8
Liverpool,37,Liverpool,Chelsea,Naby Keïta,23
Liverpool,37,Liverpool,Chelsea,Trent Alexander-Arnold,38
Liverpool,37,Liverpool,Chelsea,Georginio Wijnaldum,43
Liverpool,37,Liverpool,Chelsea,Roberto Firmino,54
Liverpool,37,Liverpool,Chelsea,Alex Oxlade-Chamberlain,84
Chelsea,37,Liverpool,Chelsea,Olivier Giroud,45+3
Chelsea,37,Liverpool,Chelsea,Tammy Abraham,61
Chelsea,37,Liverpool,Chelsea,Christian Pulisic,73
Manchester Utd,37,Manchester Utd,West Ham,Mason Greenwood,51
West Ham,37,Manchester Utd,West Ham,Michail Antonio (P),45+2
Burnley,37,Norwich City,Burnley,Chris Wood,45+5
Burnley,37,Norwich City,Burnley,Ben Godfrey (OG),80
Everton,37,Sheffield Utd,Everton,Richarlison,46
Tottenham,37,Tottenham,Leicester City,James Justin (OG),6
Tottenham,37,Tottenham,Leicester City,Harry Kane,37
Tottenham,37,Tottenham,Leicester City,Harry Kane,40
Manchester City,37,Watford,Manchester City,Raheem Sterling,31
Manchester City,37,Watford,Manchester City,Raheem Sterling,40
Manchester City,37,Watford,Manchester City,Phil Foden,63
Manchester City,37,Watford,Manchester City,Aymeric Laporte,66
Wolves,37,Wolves,Crystal Palace,Daniel Podence,41
Wolves,37,Wolves,Crystal Palace,Jonny Castro,68
Arsenal,38,Arsenal,Watford,Pierre-Emerick Aubameyang (P),5
Arsenal,38,Arsenal,Watford,Kieran Tierney,24
Arsenal,38,Arsenal,Watford,Pierre-Emerick Aubameyang,33
Watford,38,Arsenal,Watford,Troy Deeney (P),43
Watford,38,Arsenal,Watford,Danny Welbeck,66
Burnley,38,Burnley,Brighton,Chris Wood,44
Brighton,38,Burnley,Brighton,Yves Bissouma,20
Brighton,38,Burnley,Brighton,Aaron Connolly,50
Chelsea,38,Chelsea,Wolves,Mason Mount,45+1
Chelsea,38,Chelsea,Wolves,Olivier Giroud,45+4
Crystal Palace,38,Crystal Palace,Tottenham,Jeffrey Schlupp,53
Tottenham,38,Crystal Palace,Tottenham,Harry Kane,13
Everton,38,Everton,Bournemouth,Moise Kean,41
Bournemouth,38,Everton,Bournemouth,Joshua King (P),13
Bournemouth,38,Everton,Bournemouth,Dominic Solanke,45+1
Bournemouth,38,Everton,Bournemouth,Junior Stanislas,80
Manchester Utd,38,Leicester City,Manchester Utd,Bruno Fernandes (P),71
Manchester Utd,38,Leicester City,Manchester Utd,Jesse Lingard,90+8
Manchester City,38,Manchester City,Norwich City,Gabriel Jesus,11
Manchester City,38,Manchester City,Norwich City,Kevin De Bruyne,45+1
Manchester City,38,Manchester City,Norwich City,Raheem Sterling,79
Manchester City,38,Manchester City,Norwich City,Riyad Mahrez,83
Manchester City,38,Manchester City,Norwich City,Kevin De Bruyne,90
Newcastle Utd,38,Newcastle Utd,Liverpool,Dwight Gayle,1
Liverpool,38,Newcastle Utd,Liverpool,Virgil van Dijk,38
Liverpool,38,Newcastle Utd,Liverpool,Divock Origi,59
Liverpool,38,Newcastle Utd,Liverpool,Sadio Mané,89
Southampton,38,Southampton,Sheffield Utd,Che Adams,50
Southampton,38,Southampton,Sheffield Utd,Che Adams,71
Southampton,38,Southampton,Sheffield Utd,Danny Ings (P),84
Sheffield Utd,38,Southampton,Sheffield Utd,John Lundstram,26
West Ham,38,West Ham,Aston Villa,Andriy Yarmolenko,85
Aston Villa,38,West Ham,Aston Villa,Jack Grealish,84
