Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Alphonse Areola,fr FRA,GK,Fulham,27-323,1993,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.13,0.00,0.0,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/2f965a72/Alphonse-Areola
Stuart Armstrong,sco SCO,MF,Southampton,28-291,1992,12.5,2.64,1.76,0.88,1.28,0.48,0.72,2.64,27.3,1.92,16.8,5.20,31.0,5.04,8.08,3.68,1.60,0.08,0.00,1.52,0.80,3.44,0.80,0.00,/en/players/97333cf5/Stuart-Armstrong
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-104,1994,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.0,0.33,0.33,0.00,0.0,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,/en/players/28d596a0/Kepa-Arrizabalaga
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-211,1989,16.0,0.63,0.19,0.19,0.38,0.06,0.19,0.81,23.1,0.63,11.8,2.75,23.4,2.00,4.75,5.00,1.06,0.06,0.00,1.00,0.13,0.75,0.69,0.00,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Serge Aurier,ci CIV,DF,Tottenham,28-022,1992,8.7,5.06,2.53,3.56,1.26,0.23,1.61,3.56,45.2,1.95,24.0,7.01,29.2,14.5,7.13,2.41,1.84,0.34,0.00,1.49,1.49,6.55,3.22,0.11,/en/players/5c2b4f07/Serge-Aurier
Charlie Austin,eng ENG,FW,West Brom,31-194,1989,1.5,2.00,1.33,0.67,0.67,0.67,0.67,0.67,100.0,0.00,15.3,4.67,30.4,3.33,5.33,6.67,0.00,0.00,0.00,0.00,1.33,3.33,2.67,0.00,/en/players/8d228291/Charlie-Austin
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-126,1991,8.5,1.88,1.41,0.47,0.94,0.47,0.24,1.06,22.2,0.82,25.5,7.88,30.9,3.06,13.2,9.29,0.94,0.00,0.00,0.94,0.94,2.82,0.47,0.00,/en/players/da052c14/Jordan-Ayew
Luke Ayling,eng ENG,DF,Leeds United,29-143,1991,16.8,2.50,1.43,1.25,1.07,0.18,0.60,2.08,28.6,1.49,12.7,5.06,39.9,6.67,4.70,1.31,2.44,1.01,0.06,1.43,1.01,3.51,2.02,0.12,/en/players/420d7c7d/Luke-Ayling
César Azpilicueta,es ESP,DF,Chelsea,31-140,1989,6.6,1.67,0.91,0.45,0.91,0.30,0.61,1.06,57.1,0.45,14.5,5.00,34.4,6.36,5.61,2.58,2.88,0.45,0.00,2.42,0.61,2.27,3.03,0.15,/en/players/53cad200/Cesar-Azpilicueta
Eric Bailly,ci CIV,DF,Manchester Utd,26-278,1994,5.1,0.78,0.59,0.39,0.20,0.20,0.00,0.00,,0.00,5.69,2.16,37.9,2.94,2.75,0.00,1.96,1.76,0.00,0.20,2.75,3.53,5.29,0.00,/en/players/a1232f4e/Eric-Bailly
Fabián Balbuena,py PAR,DF,West Ham,29-145,1991,12.0,1.83,1.08,1.50,0.33,0.00,0.75,1.50,50.0,0.75,9.83,3.42,34.7,6.33,3.42,0.08,1.83,0.33,0.00,1.50,1.00,2.83,6.75,0.08,/en/players/3626f7d9/Fabian-Balbuena
George Baldock,eng ENG,DF,Sheffield Utd,27-312,1993,16.0,1.69,0.50,1.00,0.50,0.19,0.69,1.56,44.0,0.88,13.6,3.38,24.8,5.88,5.13,2.63,1.38,0.19,0.00,1.19,0.63,2.31,2.44,0.00,/en/players/394854c4/George-Baldock
